title,author(s),retail_price,discounted/sale_price,isbn10,book_type,number_of_pages,input_isbn
A Month in Siena,Hisham Matar,16.99,16.99,0241987067,ePUB,128.0,9780241987063
George Passant,C.P. Snow,10.99,9.99,0755120108,ePUB,338.0,9780755120109
Elon Musk,Ashlee Vance,18.99,18.99,0753550660,ePUB,400.0,9780753550663
Scandal Never Sleeps,Lexi Blake|Shayla Black,6.99,6.99,069816301X,ePUB,,9780698163010
South by Java Head,Alistair MacLean,15.99,15.99,000728943X,ePUB,448.0,9780007289431
Cold Days,Jim Butcher,12.99,12.99,0748130810,ePUB,416.0,9780748130818
Dark Winter,Andy McNab,15.99,15.99,1407039083,ePUB,496.0,9781407039084
Mr Maybe,Jane Green,15.99,15.99,0141956526,ePUB,432.0,9780141956527
Roses are Red,James Patterson,12.99,12.99,0755387252,ePUB,329.0,9780755387250
Elizabeth is Missing,Emma Healey,15.99,15.99,0241968194,ePUB,288.0,9780241968192
The Worst Witch,Jill Murphy,9.99,9.99,0141971576,ePUB,112.0,9780141971575
The Beggar Maid,Dilly Court,15.99,15.99,1448135605,ePUB,480.0,9781448135608
Human Compatible,Stuart Russell,16.99,16.99,0241335248,ePUB,352.0,9780241335246
In the Buddha's Words,Bhikkhu Bodhi,9.99,9.99,0861719964,ePUB,512.0,9780861719969
Christmas at Battersea,Battersea Dogs & Cats Home,14.99,14.99,140591971X,ePUB,288.0,9781405919715
Make It Stick,"Peter C. Brown|Henry L. Roediger, III|Mark A. McDaniel",59.95,39.75,0674729013,Hardcover,336.0,9780674729018
A Spirited Girl on Cornish Shores,Laura Briggs,0.99,0.99,0463368835,ePUB,,9780463368831
Journey Of Souls: Case Studies Of Life Between Lives,Michael Newton,27.86,22.99,0738717509,ePUB,288.0,9780738717500
The Other Slavery,Andrés Reséndez,14.99,14.99,0544602676,ePUB,448.0,9780544602670
The Art of Travel,Alain de Botton,16.99,16.99,0141930268,ePUB,272.0,9780141930268
Ashes to Ashes & Back,Spooks,1.8,1.8,1370734336,ePUB,,9781370734337
The Blue Afternoon,William Boyd,15.99,15.99,0141929774,ePUB,336.0,9780141929774
The Lights Go Out in Lychford,Paul Cornell,14.29,11.99,1250249465,ePUB,,9781250249463
The Bone Bed,Patricia Cornwell,11.99,11.99,0748128182,ePUB,512.0,9780748128181
A Time To Kill,John Grisham,15.99,15.99,1407059513,ePUB,752.0,9781407059518
Royals,Emma Forrest,18.39,15.99,140889520X,ePUB,336.0,9781408895207
Night Shift,Stephen King,16.12,12.99,0385528841,ePUB,,9780385528849
The Secret Rooms,Catherine Bailey,15.99,15.99,024196038X,ePUB,480.0,9780241960387
The Mask of Dimitrios,Eric Ambler,15.99,15.99,0141924543,ePUB,240.0,9780141924540
A Noble Radiance,Donna Leon,15.99,15.99,1407097962,ePUB,288.0,9781407097961
Butterfly Brain,Barry Cryer,13.99,13.99,0297859110,ePUB,256.0,9780297859116
The Sparrow,Mary Doria Russell,15.99,15.99,1407057022,ePUB,512.0,9781407057026
